n,generation,specimen,fitness,distance,alpha0,alpha1,alpha2,beta0,beta1,beta2,evaporation_rate0,evaporation_rate1,evaporation_rate2
83,1,5,136.98151516854546,615.1600647430577,1.19731886880112,1.7043158289663,0.275817824,4.997101956576,1.9089004137122396,0.32359981675788,0.9760576132754998,0.999,0.27205629228096
85,1,6,211.02291437490953,594.3548842650564,1.23442999548128,1.3796163081938997,0.38874441719771996,5.095938100262099,1.8552316979348795,0.25028921802888004,0.8607526115964,0.8098753875000001,0.24937969305584007
87,1,7,193.99408562663726,618.6739568009524,1.1755703085000002,1.7420681185696805,0.36831372143874,6.117957410000001,2.2250451957679203,0.48400495639464,0.9112330367335999,0.8808721488887999,0.2731797045276
89,1,8,190.6032255350962,623.9876724447034,0.90928693702976,1.44024370522004,0.1781843016709,5.3455188788892,1.2665184919999999,0.34624464086449996,0.845691533145,0.999,0.34691952854944
91,1,9,112.08382861616388,626.02168463035,1.36709363177024,1.65329846823576,0.38697616437566,5.08247729043,1.82002591631384,0.29056900152000004,0.999,0.999,0.26035120807192
93,1,10,214.0543253127779,626.3342429409786,1.002782182,1.6659837490475202,0.25107706900000004,6.04736529,2.036721994516,0.38001971891422,0.9580921400287998,0.8548643420592,0.28088180738112006
95,1,11,116.75049299469565,613.2011164996983,1.0539031005174402,1.55244708184842,0.2754316790464,5.5356948037833,2.2244184591679197,0.30801272054904,0.999,0.999,0.273123304608
97,1,12,109.37891254405777,596.246146024048,0.97531308436068,1.4758624919430399,0.2345118730956,5.334786097102801,2.4333332523226403,0.4297375282065599,0.999,0.999,0.3629638526710399
99,1,13,191.1030774615024,606.05575678419,0.9991925526105602,1.3244408734377,0.2886707522934,5.712750517163201,1.1943105812040002,0.33173831075082005,0.9031289868528,0.9682572309102,0.40146397560756003
101,1,14,189.2580202685897,602.8421201184647,0.95774394,1.4035641159999999,0.18923081082312002,4.789217252087901,2.754991868,0.344706383219,0.9499717182792001,0.7164542125464,0.23940915967904008
103,1,15,188.62110261895904,586.4922103775315,1.13260885850112,1.776573149,0.39508077062384,5.368710702737199,1.42927307997824,0.3664610833465401,0.8926952698594,0.999,0.37304913100000003
105,1,16,139.6735641381681,573.8795325065456,0.99762788158452,1.74001062257008,0.2727450200547,5.8271202461382,2.0772993102408797,0.42167468501928,0.9516304517759999,0.9462875279795999,0.28936465793312005
107,1,17,235.51667924205427,584.9268513678169,1.077383358,1.2230868061187998,0.3081395025871199,5.039305326417999,2.38383123034848,0.2594622301248,0.8630063889062,0.9604245258618002,0.30063648258410003
109,1,18,223.30262517414695,601.8143283357273,1.279783638,1.68207181767604,0.23620986163712,6.099107564573999,1.4604690932568,0.34739570689928,0.8871551810082,0.8300742243264001,0.385618181
111,1,19,191.42695298507306,620.7439185550387,1.2584782688015999,1.675816405,0.31947728489754,4.6663157617974,2.7363273310024003,0.40990545300000003,0.999,0.9377496651275999,0.37851219807360004
113,1,20,183.0333943595567,598.1427490064407,1.45096287283872,1.5925763287485604,0.3147650849457,5.704928737308,1.4959155211204802,0.40725825495642,0.999,0.8577077641644,0.32458172861052
115,1,21,179.48693653546655,593.267775675509,1.23758192290936,1.650029847,0.28645335929343996,5.453108471111699,2.1987613046738397,0.30940203170448,0.999,0.9130310537238,0.2758306493184
