n,generation,specimen,fitness
168,6,23,1031.5895825379048
169,7,0,977.5295906956669
170,7,1,997.8638724205412
171,7,2,59.67579740884537
172,7,3,357.97151443164876
173,7,4,1039.8015372983793
174,7,5,333.3683623771432
175,7,6,293.9571365386613
176,7,7,380.48458843350625
177,7,8,296.7662420162262
178,7,9,290.83130426607426
179,7,10,358.3255542173374
180,7,11,293.4069028819394
181,7,12,274.85644865604195
182,7,13,244.94391173080407
183,7,14,321.89397314444795
184,7,15,982.4939173207795
185,7,16,326.49474208187763
186,7,17,272.50776982395973
187,7,18,277.18429375202373
188,7,19,402.54507510635835
189,7,20,1044.0546454009245
190,7,21,304.46856953169356
191,7,22,349.10313172680526
192,7,23,1078.55530229768
193,8,0,265.2189499735823
194,8,1,336.75781157391253
195,8,2,334.10807255302257
196,8,3,231.46470219100567
197,8,4,319.5920185704762
198,8,5,381.9630254446436
199,8,6,338.3254388618213
200,8,7,383.69890888861283
201,8,8,274.60423233880954
202,8,9,1099.6852587635597
203,8,10,405.5558850486063
204,8,11,972.5371252590382
205,8,12,609.9106935194442
206,8,13,974.3706007949621
207,8,14,299.09487140134945
208,8,15,979.2162145612766
209,8,16,329.26284820598073
210,8,17,277.98155342142024
211,8,18,344.5419415925926
212,8,19,347.1465605807528
213,8,20,315.7111490237848
214,8,21,1046.8182483710812
215,8,22,294.672343451038
216,8,23,332.74199109933613
217,9,0,281.6395251220596
218,9,1,289.70145362868146
219,9,2,276.46406186104946
220,9,3,266.33793319562574
221,9,4,336.9167044077777
222,9,5,255.67813486795927
223,9,6,1041.4009729363886
224,9,7,988.1516714624825
225,9,8,269.5618906245704
226,9,9,317.12811249674496
227,9,10,292.29550593657984
228,9,11,290.7524072370787
229,9,12,311.7021631098134
230,9,13,320.2239489462845
231,9,14,247.599657005015
232,9,15,322.7627686867051
233,9,16,1058.4189884207365
234,9,17,295.3239308075363
235,9,18,299.0655439558312
236,9,19,1017.0090884978509
237,9,20,296.7774763763346
238,9,21,1001.7274420988219
239,9,22,282.8541552206258
240,9,23,380.46095549082327
241,10,0,377.96639599106703
242,10,1,309.19147436942905
243,10,2,263.08200061182026
244,10,3,391.2773880160266
245,10,4,362.7530776336634
246,10,5,257.9908369762154
247,10,6,1009.065927390857
248,10,7,957.2099774070404
249,10,8,290.0776090332577
250,10,9,314.7638068464228
251,10,10,1100.5628282908117
252,10,11,257.5722333290781
253,10,12,322.3376465765611
254,10,13,1021.794019025184
255,10,14,303.86966052348134
256,10,15,1015.6156620162174
257,10,16,252.97967904438283
258,10,17,285.8232153163585
259,10,18,314.0506506542626
260,10,19,292.9293033151172
261,10,20,281.521241103515
262,10,21,234.72090687853208
263,10,22,278.30171118871505
264,10,23,304.8752900643967
265,11,0,377.6517504164047
266,11,1,1100.1833563266703
267,11,2,1053.9339280156958
268,11,3,351.97340978704983
269,11,4,275.5860495843451
270,11,5,348.09338009858567
271,11,6,1001.9068534861176
272,11,7,273.16838378625806
273,11,8,387.0789949062393
274,11,9,339.4366641994087
275,11,10,267.341213806099
276,11,11,271.7970490872356
277,11,12,1018.0148881173623
278,11,13,257.26402486408097
279,11,14,245.30659561167468
280,11,15,394.17914485103034
281,11,16,285.26780838267985
282,11,17,282.27983823564347
283,11,18,1014.7787880507276
284,11,19,264.6880936091745
285,11,20,328.49457227215856
286,11,21,1027.528261144214
287,11,22,373.30250195319263
288,11,23,292.6212965546336
289,12,0,386.1779447517668
290,12,1,296.6631301054178
291,12,2,351.16135057494137
292,12,3,298.09367276293375
293,12,4,306.62001838258016
294,12,5,305.31993492099355
295,12,6,993.0311912177059
296,12,7,306.239739263362
297,12,8,318.7788487971339
298,12,9,298.5432528020203
299,12,10,361.88509925119024
300,12,11,305.78904119593744
301,12,12,290.1392375505098
302,12,13,967.2231007729898
303,12,14,1017.8719067357191
304,12,15,476.0729526934067
305,12,16,317.85348155463294
306,12,17,323.39105026479257
307,12,18,344.21266236694686
308,12,19,283.14780147423136
309,12,20,315.25211262863036
310,12,21,1043.7597217756756
311,12,22,998.7917887570301
312,12,23,374.63074881935086
313,13,0,318.44786815527044
314,13,1,380.7308812725583
315,13,2,336.27189830177235
316,13,3,298.4576375385445
317,13,4,288.46199077788197
318,13,5,389.24295980145496
319,13,6,1082.5245569087324
320,13,7,340.1838085956143
321,13,8,1053.3377566214692
322,13,9,308.05305703780925
323,13,10,377.7022549943137
324,13,11,292.65579373742
325,13,12,284.00273792047693
326,13,13,284.93692757358707
327,13,14,377.34703632521666
328,13,15,279.72416669352907
329,13,16,339.13311188768785
330,13,17,361.60549967342735
331,13,18,362.4503588997873
332,13,19,1030.3520254061912
333,13,20,364.37401973659144
334,13,21,359.53751791026275
335,13,22,263.35140179570845
336,13,23,1035.9027701635118
337,14,0,1065.6231310092833
338,14,1,266.1881695342652
339,14,2,300.52140468753913
340,14,3,438.77092044631513
341,14,4,300.04303807702416
342,14,5,1074.0172516750908
343,14,6,332.351873114304
344,14,7,309.49693381401937
345,14,8,320.1165681542999
346,14,9,989.3969741249462
347,14,10,941.3871688569661
348,14,11,295.76474377111214
349,14,12,274.6029547401266
350,14,13,322.82593424014414
351,14,14,480.6358175188585
352,14,15,279.79167018372823
353,14,16,293.3424262684109
354,14,17,297.41807461230985
355,14,18,352.7982918118565
356,14,19,301.19671449346225
357,14,20,270.1058023408671
358,14,21,954.6394405868576
359,14,22,483.50626761759014
360,14,23,285.1389509508816
361,15,0,260.3534531192174
362,15,1,283.7782816756658
363,15,2,320.2526003332903
364,15,3,303.68106967566354
365,15,4,249.57348511979978
366,15,5,309.82112111689054
367,15,6,281.2152970302971
368,15,7,278.560304796788
369,15,8,1083.9313519711852
370,15,9,287.37432360297487
371,15,10,352.6437571508665
372,15,11,311.10101590181284
373,15,12,323.9010980415914
374,15,13,288.80614937789886
375,15,14,987.7050896720274
376,15,15,299.93971468902384
377,15,16,303.10433615057815
378,15,17,445.6196221734922
379,15,18,262.03460908917737
380,15,19,316.2677667277874
381,15,20,346.6850494944879
382,15,21,1004.5454888479806
383,15,22,281.2049409621384
384,15,23,262.537798333756
385,16,0,380.17429753840645
386,16,1,357.88933528790005
387,16,2,353.65100680088125
388,16,3,249.4572776086858
389,16,4,252.45708216776708
390,16,5,389.58150742143954
391,16,6,248.54227770143817
392,16,7,355.4977012849473
393,16,8,265.16412216558206
394,16,9,340.5182124895748
395,16,10,287.8115149189321
396,16,11,279.52209812184066
397,16,12,296.1742809568956
398,16,13,318.12614044325136
399,16,14,298.50641603451976
400,16,15,286.0729501483603
401,16,16,283.8233697622631
402,16,17,276.12807569857466
403,16,18,332.67071644691487
404,16,19,347.1714089148497
405,16,20,288.02229297338516
406,16,21,290.86514422887393
407,16,22,287.09592078844327
408,16,23,304.9623866544053
409,17,0,275.04410753316137
410,17,1,354.95002695182575
411,17,2,306.2850002688417
412,17,3,303.11545297107466
413,17,4,317.9638827551322
414,17,5,281.43595927268797
415,17,6,246.7660384607628
416,17,7,340.0311021468489
417,17,8,320.0787467598045
418,17,9,280.8420446122117
419,17,10,266.6342902216001
420,17,11,267.7660295578869
421,17,12,259.2093514730513
422,17,13,284.8967019205951
423,17,14,315.4421349486273
424,17,15,437.2024109466501
425,17,16,263.04231443287773
426,17,17,364.4714023038784
427,17,18,278.4559202865471
428,17,19,344.1009103678302
429,17,20,292.3865636499535
430,17,21,244.34633851130593
431,17,22,288.6821153109065
432,17,23,289.59261620884433
433,18,0,304.7504684420905
434,18,1,270.31200115727944
435,18,2,347.66198893627933
436,18,3,251.17411547519302
437,18,4,401.04926665897517
438,18,5,259.0441706982282
439,18,6,279.3896721714452
440,18,7,280.55320246351545
441,18,8,315.5154945679493
442,18,9,299.9360038138888
443,18,10,242.19349589337898
444,18,11,314.0620721107058
445,18,12,260.3932600921231
446,18,13,316.0375762692532
447,18,14,381.54746293907124
448,18,15,262.95699511988204
449,18,16,239.25039898424413
450,18,17,274.071646736313
451,18,18,273.18975664107967
452,18,19,259.5375623447958
453,18,20,425.9077993339685
454,18,21,296.06419344153886
455,18,22,282.8244738277683
456,18,23,282.10044832872063
457,19,0,298.3262522040755
458,19,1,296.53370890696874
459,19,2,313.77890551410917
460,19,3,257.96731014989336
461,19,4,288.7906985310327
462,19,5,302.1117507061832
463,19,6,362.8301921796337
464,19,7,282.9315000242319
465,19,8,302.6917998213277
466,19,9,315.7733982887517
467,19,10,235.22524164127984
468,19,11,392.6920011823421
469,19,12,273.5729266058734
470,19,13,326.362604730787
471,19,14,271.9473703747974
472,19,15,273.9197182250704
473,19,16,279.5168506417454
474,19,17,333.9410657933138
475,19,18,303.42492361008135
476,19,19,269.2472698165604
477,19,20,249.89484392803
478,19,21,235.4470003546672
479,19,22,289.08987897427136
480,19,23,242.6922549897471
481,20,0,279.536058419822
482,20,1,298.8149855363726
483,20,2,263.90685892903497
484,20,3,343.5602807594247
485,20,4,326.05171243842744
486,20,5,321.74180980960926
487,20,6,310.9045509639973
488,20,7,284.75920745883815
489,20,8,256.72923250422207
490,20,9,352.60866885961497
491,20,10,345.12109483150044
492,20,11,284.6391653569117
493,20,12,206.82432307207327
494,20,13,333.7340527817476
495,20,14,325.24741131830956
496,20,15,325.7400918224871
497,20,16,315.4991999396117
498,20,17,277.73037067403124
499,20,18,258.64292724000927
500,20,19,340.5803334643549
501,20,20,304.0596520599963
502,20,21,353.3686921189063
503,20,22,325.7476682500216
504,20,23,292.74747659564497
505,21,0,292.856644684526
506,21,1,306.3896485904758
507,21,2,269.4573233358777
508,21,3,325.0864926942145
509,21,4,280.77427652596054
510,21,5,382.18378997755457
511,21,6,348.79477659513606
512,21,7,310.9407524029948
513,21,8,299.2886130910192
514,21,9,251.156208386981
515,21,10,280.10589415510486
516,21,11,272.4588285372586
517,21,12,313.6118110184293
518,21,13,370.2889474663978
519,21,14,322.7668075092581
520,21,15,316.804951716311
521,21,16,408.0438306648944
522,21,17,263.5230122808193
523,21,18,355.66323449968405
524,21,19,298.95764444223204
525,21,20,250.87026762396874
526,21,21,288.64328018735876
527,21,22,298.50238664387905
528,21,23,298.04772879910706
529,22,0,340.70443295699783
530,22,1,250.20159748178637
531,22,2,302.1572568595039
532,22,3,317.6132728022035
533,22,4,442.49275909944845
534,22,5,289.5043888541486
535,22,6,336.90189808353506
536,22,7,331.4019026018195
537,22,8,268.50614841995167
538,22,9,312.7860349698696
539,22,10,325.1234235662978
540,22,11,295.12241911590036
541,22,12,236.83714216626151
542,22,13,252.59139199270606
543,22,14,246.33395314844228
544,22,15,321.556043661594
545,22,16,316.68308316786135
546,22,17,254.23428795983907
547,22,18,373.7052849855998
548,22,19,268.8030415082344
549,22,20,317.1551963009929
550,22,21,296.07609770766055
551,22,22,271.7303039621414
552,22,23,299.2998721364189
553,23,0,329.3256352888287
554,23,1,304.36429674382504
555,23,2,265.53445983492935
556,23,3,232.1858134495624
557,23,4,287.68981973969386
558,23,5,281.8626449458928
559,23,6,270.0715021764703
560,23,7,386.29953507637765
561,23,8,295.5376486239326
562,23,9,289.0224324691718
563,23,10,323.29844505359773
564,23,11,325.3873506702229
565,23,12,312.2298696904566
566,23,13,344.5010452007723
567,23,14,294.53429702874735
568,23,15,234.12429230070546
569,23,16,305.6919290655594
570,23,17,270.10280703925514
571,23,18,270.08092766644455
572,23,19,267.95585774463603
573,23,20,428.0419132889545
574,23,21,334.0372070295433
575,23,22,261.53549666282055
576,23,23,275.0188398239678
577,24,0,315.9251984040279
578,24,1,298.0578810583633
579,24,2,260.03939444388004
580,24,3,257.145935620375
581,24,4,268.0008662887443
582,24,5,283.08931750039926
583,24,6,288.48649863400277
584,24,7,268.65748728441326
585,24,8,284.17371828858717
586,24,9,328.6768487765738
587,24,10,258.4571883227628
588,24,11,288.44878002350976
589,24,12,292.39280708687534
590,24,13,322.0827768557024
591,24,14,319.91183921913364
592,24,15,266.2027739472179
593,24,16,326.10086237122147
594,24,17,267.73689285469186
595,24,18,392.33954397364636
596,24,19,306.08775897691083
597,24,20,267.60258652032945
598,24,21,308.2019142749304
599,24,22,303.9844961395003
600,24,23,278.30593397203455
601,25,0,315.46776236044104
602,25,1,307.6706278850839
603,25,2,249.95098504938096
604,25,3,339.0044463221501
605,25,4,297.3957332015624
606,25,5,344.0010211981837
607,25,6,272.5134943348431
608,25,7,290.3313161814672
609,25,8,322.4786546999547
610,25,9,269.74383873992906
611,25,10,304.32158931903524
612,25,11,345.1612839280124
613,25,12,244.4774403983899
614,25,13,331.77431474947383
615,25,14,291.43931342160766
616,25,15,251.5991097492903
617,25,16,371.0127291655816
618,25,17,288.4015110631912
619,25,18,349.23352464341156
620,25,19,357.49146280391324
621,25,20,345.14056479758773
622,25,21,331.3936393625468
623,25,22,283.51522498427073
624,25,23,307.818996371912
625,26,0,359.0026475656568
626,26,1,341.62345605412014
627,26,2,306.4091080791615
628,26,3,340.2676475649539
629,26,4,318.53176240011294
630,26,5,267.9633674008336
631,26,6,231.65856860552387
632,26,7,332.14862612556504
633,26,8,297.4194905991292
634,26,9,281.17011758956784
635,26,10,333.7460501664263
636,26,11,342.61353261856635
637,26,12,288.61867843964734
638,26,13,299.2896245564042
639,26,14,351.5201790959767
640,26,15,335.7908655741685
641,26,16,256.59805897537365
642,26,17,314.80453234855406
643,26,18,294.95946141241643
644,26,19,272.626586971018
645,26,20,255.3942188544441
646,26,21,271.5869847054469
647,26,22,278.95245793994735
648,26,23,312.20295247117167
649,27,0,385.3669124438952
650,27,1,283.46262448288184
651,27,2,286.76000937300824
652,27,3,272.14901631912056
653,27,4,263.05516918068577
654,27,5,296.70842187193455
655,27,6,287.3372270504006
656,27,7,339.90269894541797
657,27,8,265.5439704068173
658,27,9,311.73920054575717
659,27,10,301.11231938037963
660,27,11,261.1140216198828
661,27,12,321.7615767186428
662,27,13,288.3805576720381
663,27,14,334.60839769778875
664,27,15,334.5744973785982
665,27,16,252.17268188970698
666,27,17,260.9244524685699
667,27,18,245.92833467425996
668,27,19,306.0921215715039
669,27,20,259.87579689815345
670,27,21,265.6198881428349
671,27,22,289.6640980427355
672,27,23,280.18839505637294
673,28,0,296.2970193164816
674,28,1,274.30177229808874
675,28,2,330.122349066906
676,28,3,250.92304787568432
677,28,4,339.25141959798805
678,28,5,301.7078372808674
679,28,6,306.6900702092556
680,28,7,316.87295671334556
681,28,8,262.43838213839183
682,28,9,344.359126246711
683,28,10,317.89173136564705
684,28,11,334.1272536895245
685,28,12,305.8867408627212
686,28,13,274.6784426210095
687,28,14,313.61934228916715
688,28,15,356.69953436011724
689,28,16,319.23627875321034
690,28,17,264.1096503689543
691,28,18,320.0699011441221
692,28,19,247.80541060604784
693,28,20,257.32530562743364
694,28,21,320.59856710924555
695,28,22,330.43806650410704
696,28,23,247.07760623290542
697,29,0,264.6367352626056
698,29,1,372.44536255430324
699,29,2,325.42505082528237
700,29,3,353.971552618734
701,29,4,266.19666085267255
702,29,5,336.1563670141793
703,29,6,383.7226982439499
704,29,7,309.7494814237001
705,29,8,268.25886710942046
706,29,9,313.0457690321512
707,29,10,296.2283853987851
708,29,11,265.468313106778
709,29,12,292.802196963762
710,29,13,278.0863265221926
711,29,14,302.83197235782416
712,29,15,371.45941603999165
713,29,16,322.2365063183395
714,29,17,271.36667527942274
715,29,18,321.69296979711345
