n,generation,specimen,fitness,distance
1131,47,2,739.4549914502757,1358.5545316034622
1132,47,3,682.3895519932549,1248.4400705144803
1133,47,4,764.9519211336466,1331.9580307866836
1134,47,5,890.5468341380166,1435.4926375780717
1135,47,6,622.778008279148,1288.750818186893
1136,47,7,623.7767710139929,1368.494458720319
1137,47,8,864.8593345246911,1337.6266685185494
1138,47,9,836.2198800834329,1381.016344768246
1139,47,10,714.064804096586,1319.9810101624232
1140,47,11,722.3131999808629,1390.322490581379
1141,47,12,888.9080948325995,1305.1458799006746
1142,47,13,682.3410887935045,1354.022668909786
1143,47,14,901.2578903538719,1399.5790542711193
1144,47,15,879.0493036918623,1346.3462575009328
1145,47,16,459.28816815100373,1253.429686803421
1146,47,17,863.4686597316397,1321.9236492872697
1147,47,18,735.9925857845116,1387.2247046526884
1148,47,19,782.9019287103947,1260.4861857985159
1149,47,20,551.6646654288807,1309.697085418
1150,47,21,573.1088016074655,1276.3202818369612
1151,47,22,597.904735761254,1255.997843117972
1152,47,23,693.6415321022803,1274.8594630387774
1153,48,0,1002.4270894393474,1195.6685550963248
1154,48,1,665.221368459378,1290.3808273201646
1155,48,2,789.474759552927,1267.5972557925056
1156,48,3,956.2350476480049,1332.9975434511707
1157,48,4,786.0889079644603,1208.048433190306
1158,48,5,785.0706247305892,1225.392400543337
1159,48,6,981.1610239036136,1276.5480616025368
1160,48,7,500.0711363857425,1297.2987370559806
1161,48,8,873.3065471828991,1307.4625027742736
1162,48,9,687.7518169594416,1317.7666661781052
1163,48,10,755.5953328754981,1294.7909249773197
1164,48,11,841.1977333453932,1367.3584211702503
1165,48,12,748.2071849317852,1354.0429989858574
1166,48,13,905.9638428718978,1381.6398538607116
1167,48,14,556.3411713357084,1294.776711764509
1168,48,15,803.4727082501635,1379.5364556145819
1169,48,16,733.946763786861,1128.9149449407096
1170,48,17,605.7458831657889,1318.419066612088
1171,48,18,877.9221582137944,1280.4245521066991
1172,48,19,594.6249522118254,1341.1872931140892
1173,48,20,847.7684926221868,1317.8854767221812
1174,48,21,827.8563848685811,1253.314564470935
1175,48,22,635.1423351463868,1320.9580163440014
1176,48,23,564.9636405234019,1445.8626435572173
1177,49,0,604.4614607031888,1407.4675256898565
1178,49,1,754.0080219791707,1386.2735717066266
1179,49,2,596.3829111822553,1355.783570570869
1180,49,3,714.7397852992046,1296.2384700534205
1181,49,4,934.0353415733252,1340.2499651198127
1182,49,5,795.4766454253617,1402.9487338452216
1183,49,6,805.0043449803376,1250.6661044796956
1184,49,7,815.7127786852511,1246.5319540526514
1185,49,8,821.3944329145902,1201.8523565657026
1186,49,9,636.9798132662103,1356.8975586523095
1187,49,10,624.5873073649727,1229.0774195469205
1188,49,11,542.5371656882023,1279.9439406214233
1189,49,12,500.9960138031083,1236.2685704518888
1190,49,13,674.691388052482,1276.010698471061
1191,49,14,827.1093202729228,1154.9785575666472
1192,49,15,636.386166258447,1272.288517258633
1193,49,16,915.0975983832777,1296.4885779015772
1194,49,17,732.5022433216943,1401.9523044023722
1195,49,18,824.5671214424195,1359.9891213616795
1196,49,19,607.3360865986934,1251.306812767939
1197,49,20,604.284493842615,1341.728932637439
1198,49,21,830.4421862204748,1311.9640444531497
1199,49,22,862.6213240260232,1283.0107989453077
1200,49,23,500.35697802009685,1203.769926346512
1201,50,0,713.1679297464584,1161.6444933265432
1202,50,1,632.3883236909196,1234.2655587058084
1203,50,2,819.329652032544,1213.0764487030629
1204,50,3,988.6510016602816,1384.7529976363246
1205,50,4,835.9788929368304,1220.4405998628122
1206,50,5,857.1317410714694,1234.0420367812164
1207,50,6,681.2432801670197,1310.1521064458534
1208,50,7,610.3842332088875,1348.4186127850537
1209,50,8,335.1915608299772,1301.5698216476096
1210,50,9,654.2845668280559,1364.373017654932
1211,50,10,688.8252904756018,1350.4946516839857
1212,50,11,796.3650934917474,1263.9129283974619
1213,50,12,756.3285173545778,1324.864389611207
1214,50,13,530.5045730183951,1202.9680539852357
1215,50,14,524.1191761437642,1292.9301832006192
1216,50,15,725.0908954130045,1288.5107588575277
1217,50,16,714.4872868484839,1288.2122375105407
1218,50,17,623.9097627711374,1326.0016171023847
1219,50,18,655.2922133310263,1282.8735424479053
1220,50,19,692.3260121795568,1195.3616010617836
1221,50,20,508.2800315814784,1299.1521785872087
1222,50,21,875.4510466817599,1375.3849717296105
1223,50,22,683.3634907266226,1390.1270590633994
1224,50,23,829.5217103753155,1376.7399874076195
1225,51,0,728.8349741801669,1367.0734339425792
1226,51,1,605.8878903522034,1282.2727229482327
1227,51,2,464.84427819570215,1389.9242166916201
1228,51,3,797.3423658175955,1199.5235610527843
1229,51,4,941.1611112881502,1279.5271628826265
1230,51,5,789.0170357418658,1305.7465953617016
1231,51,6,518.3280941563244,1376.2867269657877
1232,51,7,715.6884211869321,1234.4775308517665
1233,51,8,595.2706063852295,1350.304369025167
1234,51,9,655.1541575127487,1393.4767352365404
1235,51,10,839.2808733664504,1348.3390277689211
1236,51,11,842.3162094273525,1326.3318480410135
1237,51,12,716.1222064804621,1336.3378189970663
1238,51,13,873.8118186412847,1355.126466332347
1239,51,14,825.1671443640893,1293.8748217610887
1240,51,15,608.0072357887141,1134.2431264416905
1241,51,16,621.6051793249936,1332.0128118085029
1242,51,17,519.9511299943898,1297.650685382348
1243,51,18,768.3902376742549,1405.237218748093
1244,51,19,800.9601824562676,1322.6195878188644
1245,51,20,825.5296096507329,1266.8495904015344
1246,51,21,696.513150687081,1292.6874718248118
1247,51,22,618.2846521351585,1312.2630377366288
1248,51,23,500.8388848326372,1278.4109533835606
1249,52,0,689.8176517500347,1309.4029626155573
1250,52,1,624.6833154854673,1286.0005057825983
1251,52,2,850.8581718702146,1304.7731467690269
1252,52,3,890.4302116084009,1327.5192296497269
1253,52,4,838.9539483746506,1422.895100058097
1254,52,5,666.1870753838516,1363.4789601287227
1255,52,6,821.5913850343728,1363.5147320032086
1256,52,7,757.2296303537734,1364.797061631282
1257,52,8,489.4368718388112,1341.4981466046909
1258,52,9,486.1416029162943,1399.5580302056446
1259,52,10,676.7468676015658,1369.0347224262014
1260,52,11,899.0709917314701,1338.8136975786015
1261,52,12,856.3066660160027,1300.0745230011328
1262,52,13,743.6543194724142,1236.2780220006343
1263,52,14,733.433430095219,1252.596483317414
1264,52,15,920.4328110731752,1331.6580544218075
1265,52,16,719.9967864827653,1416.0989231279061
1266,52,17,853.9439197785591,1281.0875613623007
1267,52,18,373.08058658513806,1286.2169491545803
1268,52,19,574.3570141101069,1447.9456716050486
1269,52,20,639.8172682924499,1250.0863554715695
