n,generation,specimen,fitness,distance,alpha0,alpha1,alpha2,beta0,beta1,beta2,evaporation_rate0,evaporation_rate1,evaporation_rate2
149,2,2,139.12131640837015,590.7420937162076,0.306537203053184,0.46561028849719993,0.19134389196416796,2.422637617897393,2.009539401658499,0.22322373248,0.999,0.6885200248788528,0.17980230729523966
151,2,3,87.50945551037842,628.3785481878734,0.49889750407366396,1.0428050015871486,0.23036496009999996,2.895896058880001,0.946523507625599,0.20287769574139997,0.8155236599999999,0.7898305173468478,0.18676277236218242
153,2,4,255.43239910059344,621.7753584191734,0.32080238469919986,0.8235404764399998,0.27011494636287997,2.374087472428672,1.9544563643332475,0.22166951024000003,0.999,0.5450549275647,0.19184963471581817
155,2,5,68.65554355038205,614.4211947297734,0.6598221324968001,1.6293055099354876,0.22466898413159198,3.1005234595274365,1.558850113583526,0.1371276528128,0.95638266,0.7847744400000001,0.18512748790363148
157,2,6,120.04310852811932,608.6862958292493,0.43315792880000004,0.5109244592704999,0.1719574132,3.0947659769338047,1.3793629006868222,0.28001126528,0.9122068799999999,0.7287964688335103,0.14896647604972796
159,2,7,184.27929614140726,667.705608534905,0.3141176404268959,0.7965443735532798,0.17197867137765996,3.7529553265201354,2.4328491552518443,0.23472562555903995,0.999,0.6560569985810398,0.14681918477634046
161,2,8,194.1219225710364,651.9769722541063,0.5215285521391999,1.5068083549376001,0.3651191302991319,1.8218271616399362,2.0904445354,0.142108553900624,0.9347443199999999,0.6433730453589119,0.20352018063476734
163,2,9,176.7821522221143,600.7907671793258,0.6623782347196158,0.9888683244067759,0.267158988051592,3.6067996948318712,1.5222642993028186,0.21067380032000002,0.603716806434312,0.9057166162127999,0.23188339519180412
165,2,10,296.59932384203694,606.8218802457079,0.91467360719432,1.4859924445667838,0.32207649816556005,1.5483072725280156,1.158955600242114,0.31725720313118716,0.75216708,0.5660405764415998,0.18964129184
167,2,11,153.4014107008968,593.6688238152537,0.6236989110569598,0.8386720752650237,0.25863394546937196,1.3806437065738242,1.5951323971493678,0.23588352944,0.999,0.5324726490226559,0.2512883491024752
