n,generation,specimen,fitness
173,7,4,238.9102891707595
174,7,5,333.8897491242025
175,7,6,257.0007716262624
176,7,7,145.67743483973868
177,7,8,340.6728339697121
178,7,9,123.89150947062774
179,7,10,229.08129152741765
180,7,11,101.7497827696165
181,7,12,135.93459921844658
182,7,13,293.73654267604627
183,7,14,276.9678572937534
184,7,15,231.32747252162787
185,7,16,365.91300780740994
186,7,17,148.58954330065558
187,7,18,176.05998860646284
188,7,19,180.89967058527512
189,7,20,151.10905022911618
190,7,21,207.72236230138836
191,7,22,265.42310511689897
192,7,23,242.84985548975806
193,8,0,251.91902774228885
194,8,1,261.37781201093355
195,8,2,322.41400374461523
196,8,3,225.59263605287637
197,8,4,270.6384817514812
198,8,5,260.8622059987052
199,8,6,174.01781858956954
200,8,7,274.96763045458044
201,8,8,236.1505554142188
202,8,9,217.1887094991482
203,8,10,132.62659844201812
204,8,11,303.7832216530871
205,8,12,269.5599288797561
206,8,13,251.5914171721367
207,8,14,276.85921814818903
208,8,15,278.7428715208959
209,8,16,275.5783741761892
210,8,17,226.47569886254087
211,8,18,101.26074063089087
212,8,19,115.83169777123284
213,8,20,200.6757345587851
214,8,21,214.5148445268314
215,8,22,290.812163152746
216,8,23,246.34520839971114
217,9,0,176.9272185875389
218,9,1,146.42833863701117
219,9,2,155.85235504412412
220,9,3,188.7484231415192
221,9,4,177.1062940985292
222,9,5,195.87368079354587
223,9,6,254.47568272105087
224,9,7,250.83683822088454
225,9,8,136.4197949218182
226,9,9,139.1167286976148
227,9,10,141.6603938515098
228,9,11,263.8056033768591
229,9,12,122.96654635696777
230,9,13,201.8079662774404
231,9,14,138.5581590736262
232,9,15,177.47168245120793
233,9,16,298.4832924264244
234,9,17,196.46362273269796
235,9,18,64.003095966839
236,9,19,165.14545333948905
237,9,20,125.09165895122558
238,9,21,219.9974274680601
239,9,22,296.97939681279524
240,9,23,51.530125823376466
241,10,0,157.21013114434024
242,10,1,271.6162198705116
243,10,2,307.1494105933137
244,10,3,315.53976583423315
245,10,4,176.6814333887152
246,10,5,227.02293691393487
247,10,6,190.00161190052495
248,10,7,213.85169170800563
249,10,8,121.04180770120973
250,10,9,122.54662130838102
251,10,10,236.44028565016453
252,10,11,162.24458659642264
253,10,12,146.75484846679763
254,10,13,317.5040763996292
255,10,14,291.95425696060175
256,10,15,161.5203061647228
257,10,16,216.16719720591487
258,10,17,195.43395895121864
259,10,18,283.34693417968936
260,10,19,209.65784385636243
261,10,20,233.52858653921746
262,10,21,143.07075213914646
263,10,22,311.5191643072407
264,10,23,174.7574010168142
265,11,0,146.95005883615005
266,11,1,303.73668512612124
267,11,2,234.666518895907
268,11,3,132.60336418078293
269,11,4,133.41875580641505
270,11,5,183.47536599774668
271,11,6,179.85629796822565
272,11,7,227.9016185859796
273,11,8,195.89036578725603
274,11,9,197.52920079682173
275,11,10,161.87354931442084
276,11,11,300.1494084087675
277,11,12,333.48029335862583
278,11,13,142.05916120502678
279,11,14,209.28397586352855
280,11,15,238.66388784037187
281,11,16,276.76789332116215
282,11,17,190.56111576624346
283,11,18,108.12316611635458
284,11,19,237.28180957119577
285,11,20,264.5345112658007
286,11,21,154.63955291784526
287,11,22,274.2932082988211
288,11,23,224.30150660481888
289,12,0,236.8679992220242
290,12,1,182.90588760391523
291,12,2,111.25513940146695
292,12,3,259.10026886565015
293,12,4,200.69795297626433
294,12,5,185.94837674276144
295,12,6,154.15420283802996
296,12,7,187.03848313137593
297,12,8,255.61053976477947
298,12,9,220.0747284732828
299,12,10,278.3203109032038
300,12,11,221.03343136465247
301,12,12,240.23167486031338
302,12,13,303.44093293306076
303,12,14,301.390539330778
304,12,15,215.6997505812428
305,12,16,234.88838278221496
306,12,17,247.48952598992142
307,12,18,281.45527416119137
308,12,19,253.1216699661934
309,12,20,287.02052477905863
310,12,21,231.9775197587113
311,12,22,269.7198980853562
312,12,23,159.88447786668144
313,13,0,180.2285006820424
314,13,1,226.5111933031397
315,13,2,301.720813358811
316,13,3,182.13209082633568
317,13,4,296.11091058704045
318,13,5,137.15537109837203
319,13,6,288.6451009299249
320,13,7,142.24370776343721
321,13,8,224.05414687946197
322,13,9,254.15679686834758
323,13,10,164.5565193722803
324,13,11,324.08486848042463
325,13,12,174.30781275006984
326,13,13,339.4363580881892
327,13,14,133.71059121436787
328,13,15,277.55111961353725
329,13,16,172.39564527445907
330,13,17,185.6111494423305
331,13,18,246.88444972504178
332,13,19,151.50295361885168
333,13,20,272.0628436614822
334,13,21,284.23159278502214
335,13,22,168.8844284338535
